accident_id,num_vehicles,num_casualties,accident_severity,accident_damages,police_department,police_attended,urban_vs_rural,road_type,road_conditions,weather_conditions,light_conditions,date,year,weekday,hour,longitude,latitude
201506L099323,3+,1,Serious,15326,Greater Manchester,Yes,Rural,Single carriageway,Dry,Fine,Daylight,05/04/2015,2015,7-Sunday,19,-2.64505,53.501342
2009520905782,3+,2,Slight,1872.5,Avon and Somerset,No,Urban,Single carriageway,Dry,Fine,Daylight,27/06/2009,2009,6-Saturday,14,-2.604599,51.455629
2014440217987,2,1,Slight,1336.5,Hampshire,Yes,Urban,Single carriageway,Dry,Fine,Daylight,20/06/2014,2014,5-Friday,11,-1.183321,50.854516
2013921300087,3+,1,Slight,1934,Grampian,Yes,Rural,Single carriageway,Dry,Fine,Darkness,09/01/2013,2013,3-Wednesday,17,-2.342213,57.163106
200714A180907,2,1,Slight,696,South Yorkshire,Yes,Rural,Single carriageway,Wet,Fine,Daylight,19/08/2007,2007,7-Sunday,14,-1.078061,53.536194
201563DP01815,1,1,Slight,131,Dyfed-Powys,No,Rural,Single carriageway,Ice,Fog,Daylight,19/01/2015,2015,1-Monday,8,-3.115749,52.36283
2013621302447,1,1,Slight,160,South Wales,Yes,Rural,Single carriageway,Wet,Fine,Darkness,28/12/2013,2013,6-Saturday,22,-3.324047,51.433795
2007930003935,2,1,Slight,1110,Tayside,Yes,Rural,Single carriageway,Dry,Fine,Daylight,28/08/2007,2007,2-Tuesday,10,-3.396259,56.519309
201391NE14250,1,1,Slight,818,Northern,Yes,Rural,Single carriageway,Wet,Fine,Darkness,22/10/2013,2013,2-Tuesday,12,-4.488261,57.600068
2006556W03668,1,1,Slight,853,Dorset,Yes,Urban,Single carriageway,Dry,Fine,Darkness,05/08/2006,2006,6-Saturday,3,-2.45307,50.609944
200806F096523,2,1,Slight,9,Greater Manchester,No,Urban,Single carriageway,Wet,Raining,Daylight,18/06/2008,2008,3-Wednesday,10,-2.32717,53.489054
2008440460702,2,1,Fatal,102313.5,Hampshire,Yes,Urban,Dual carriageway,Dry,Fine,Daylight,16/10/2008,2008,4-Thursday,7,-1.443501,50.913366
201501LX50600,2,1,Slight,1030.5,Metropolitan Police,Yes,Urban,Single carriageway,Dry,Fine,Daylight,13/06/2015,2015,6-Saturday,16,-0.132739,51.463684
2014554C04295,2,1,Slight,1069.5,Dorset,Yes,Urban,Single carriageway,Wet,Raining,Daylight,31/01/2014,2014,5-Friday,16,-1.905771,50.716995
200797KC04604,2,1,Slight,1026,Strathclyde,Yes,Urban,Single carriageway,Wet,Raining,Daylight,24/04/2007,2007,2-Tuesday,14,-4.69049,55.935525
200550E31H263,1,1,Slight,187,Devon and Cornwall,No,Urban,Single carriageway,Dry,Fine,Daylight,17/06/2005,2005,5-Friday,16,-4.154116,50.369373
2005600DE6087,2,2,Slight,1040,North Wales,Yes,Rural,Single carriageway,Ice,Fine,Darkness,12/12/2005,2005,1-Monday,20,-3.30808,53.116558
2014051400184,1,1,Slight,512,Merseyside,No,Urban,Single carriageway,Dry,Fine,Darkness,05/11/2014,2014,3-Wednesday,18,-2.972415,53.398847
2005470502930,2,1,Slight,741,Sussex,Yes,Rural,Dual carriageway,Wet,Raining,Daylight,15/04/2005,2005,5-Friday,16,-0.090777,50.862116
2011460201868,2,1,Slight,61.5,Kent,Yes,Urban,Single carriageway,Dry,Fine,Daylight,29/06/2011,2011,3-Wednesday,15,0.85834,51.153037
2011460200565,3+,3+,Slight,924,Kent,Yes,Urban,Single carriageway,Dry,Fine,Daylight,23/05/2011,2011,1-Monday,16,1.103372,51.291876
200505AW01333,1,1,Serious,2772,Merseyside,Yes,Urban,Single carriageway,Dry,Fine,Daylight,10/08/2005,2005,3-Wednesday,14,-3.03671,53.388283
200697QB72408,1,1,Slight,272,Strathclyde,Yes,Urban,Dual carriageway,Wet,Fine,Darkness,25/08/2006,2006,5-Friday,22,-4.065515,55.793731
